Temperature;PM2.5;PM10
4.8;21.1;22.7
4.8;21;22.6
4.8;20;21.5
4.7;20.1;21.6
4.6;20.3;21.9
4.6;20.2;21.8
4.6;20.5;22.1
4.5;20.5;22.1
4.4;21.2;22.8
4.4;21.7;23.3
4.5;21.8;23.4
4.4;21.8;23.4
4.4;21.4;23
4.5;21.4;23
4.4;21.3;22.9
4.4;21.3;22.9
4.5;21.2;22.8
4.4;21.1;22.7
4.4;21.4;23
4.4;21.2;22.8
4.4;21;22.6
4.4;21;22.6
4.4;20.3;21.8
4.4;20.5;22
4.3;39.2;48.3
4.3;39.3;48.4
4.4;41.2;49.3
4.4;47.4;68.6
4.3;43.3;64.8
4.3;43.3;64.8
4.3;43.2;64.7
4.3;43;64.7
4.2;43;64.7
4.1;42.9;64.6
4.1;42.7;64.5
4;38;62.4
4;42.5;65.8
3.9;42.6;65.8
4;42;65.5
3.8;41.5;65.3
3.8;41.4;65.2
3.8;41.2;65.2
3.8;41.2;65.2
3.8;41.3;65.2
3.8;41.5;65.3
3.7;41.5;65.3
3.6;41.7;65.4
3.6;41.9;66
3.6;42.9;66.4
3.8;42.7;66.4
3.7;43.2;66.6
3.7;43;66.5
3.7;43.4;66.7
3.6;43.6;66.8
3.5;43.4;66.7
3.3;24.8;32.6
3.3;25.1;32.7
3.3;23.4;31.9
3.2;16.7;18
3.1;16.8;18.1
3.1;16.9;18.2
3;17.2;18.6
2.8;17.2;18.6
3.1;17.3;18.7
3;17.1;18.5
2.9;17;18.5
2.9;17.2;18.7
2.8;12.5;13.6
2.8;12.2;13.3
2.9;12.4;13.5
2.8;12.7;13.8
2.7;12.9;14
2.6;13.1;14.2
2.5;13.1;14.2
2.3;13.1;14.2
2.2;13.3;14.5
2.1;13.3;14.5
2;13;14.1
2;12;13
2;11.9;12.9
1.9;11.4;12.4
1.8;11.5;12.5
1.8;11.2;12.2
1.9;10.8;11.8
2;10.9;11.9
1.9;10.8;11.8
1.8;10.5;11.5
1.7;10.2;11.1
1.7;10.1;11
1.6;10;10.9
1.5;9.8;10.7
1.4;9.7;10.6
1.4;9.5;10.4
1.3;9.5;10.4
1.3;9.6;10.5
1.2;9.6;10.4
1.1;9.3;10.1
1.1;9.3;10.1
1;9.4;10.2
0.9;9.3;10.1
0.8;9;9.8
0.8;8.8;9.5
0.7;8.7;9.4
0.7;8.5;9.2
0.6;8.4;9.1
0.5;8.1;8.8
0.5;8.5;9.2
0.5;8.5;9.2
0.4;8.4;9.1
0.3;8.6;9.3
0.3;8.6;9.3
0.3;8.7;9.4
0.3;8.7;9.4
0.3;8.8;9.5
0.3;8.6;9.3
0.2;8.6;9.3
0.3;8.5;9.2
0.2;8.4;9.1
0.2;8.4;9.1
0.2;8.3;9
0;8.2;8.9
0.3;8.3;9
0.2;8.6;9.3
0.1;8.5;9.2
0;8.4;9.1
0;8.5;9.2
0;8.5;9.2
-0.1;8.4;9.1
-0.1;8.4;9.1
-0.2;8.3;9
0.1;8.3;9
0.1;8.7;9.4
0;8.6;9.3
-0.1;8.5;9.2
-0.2;8.5;9.2
-0.1;8.4;9.1
-0.1;7.7;8.4
-0.1;7.6;8.3
-0.2;7.8;8.5
-0.3;8.4;9.1
-0.3;9.2;10
-0.3;9.1;9.8
-0.2;10.3;11.1
-0.1;12.9;14.1
-0.1;12.9;14.1
-0.1;12.7;13.9
0.1;12.6;13.8
0;12.6;13.8
-0.1;12.7;13.9
0;12.8;14
0;12.8;14
-0.1;12.7;13.9
-0.1;12.5;13.6
-0.1;12.5;13.6
-0.1;12.4;13.5
-0.2;12.4;13.5
-0.2;12.3;13.4
-0.2;12.1;13.2
-0.3;12.1;13.2
-0.4;12;13.1
-0.5;12;13.1
-0.5;11.9;13
-0.4;11.5;12.6
-0.5;11.5;12.6
-0.5;11.6;12.7
-0.5;11.5;12.6
-0.5;11.6;12.7
-0.5;11.5;12.6
-0.5;11.5;12.6
-0.5;11.2;12.3
-0.6;10.6;11.7
-0.7;9.8;10.8
-0.8;9.8;10.8
-0.9;8.4;9.4
-0.8;5.6;6.2
-0.9;5.6;6.2
-0.9;5.6;6.2
-0.9;5.7;6.3
-0.9;5.8;6.4
-0.9;5.6;6.2
-0.9;5.5;6.1
-0.9;5.4;6
-0.9;5.4;6
-0.9;5.4;6
-1;5.3;5.9
-1;5.3;5.9
-1;5.4;6
-1;5.4;6
-1.2;5.4;6
-1.2;5.4;6
-1.3;5.4;6
-1.3;5.4;6
-1.4;5.2;5.8
-1.5;5.2;5.8
-1.4;5.2;5.8
-1.5;5.2;5.8
-1.5;5.1;5.7
-1.6;5.2;5.8
-1.7;5.3;5.9
-1.8;5.7;6.3
-1.8;5.5;6.1
-1.7;5.5;6.1
-1.8;5.4;6
